City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port mathurin,-19.6833,63.4167,27.27,84,100,7.93,MU,1707680058
1,blackmans bay,-43.0167,147.3167,14.18,86,100,1.02,AU,1707680093
2,thompson,55.7435,-97.8558,-10.91,85,100,2.06,CA,1707680093
3,jainpur,26.1533,83.3347,12.49,54,0,1.61,IN,1707680094
4,hamilton,39.1834,-84.5333,10.7,63,0,4.02,US,1707680094
5,hammerfest,70.6634,23.6821,-0.75,64,40,3.09,NO,1707680094
6,aasiaat,68.7098,-52.8699,-24.62,99,99,5.53,GL,1707679977
7,balqash,46.8481,74.995,-14.68,84,91,3.82,KZ,1707680094
8,anadyr,64.75,177.4833,-23.72,84,75,5.0,RU,1707680094
9,edinburgh of the seven seas,-37.0676,-12.3116,18.05,68,42,7.85,SH,1707680078
10,waitangi,-43.9535,-176.5597,12.12,76,100,1.79,NZ,1707680095
11,ambalavao,-21.8333,46.9333,20.61,96,100,1.72,MG,1707680095
12,bethel,41.3712,-73.414,8.65,61,0,3.09,US,1707680095
13,margaret river,-33.95,115.0667,17.44,80,1,7.66,AU,1707680095
14,uturoa,-16.7333,-151.4333,27.69,87,100,10.0,PF,1707680095
15,saint-philippe,-21.3585,55.7679,26.77,88,43,4.78,RE,1707679835
16,warwick,41.7001,-71.4162,9.45,56,100,6.69,US,1707680095
17,kourou,5.1552,-52.6478,29.03,68,12,4.19,GF,1707680095
18,ushuaia,-54.8,-68.3,9.81,76,75,9.26,AR,1707680095
19,newman,37.3138,-121.0208,14.03,70,85,0.89,US,1707679943
20,nar'yan-mar,67.6713,53.087,-30.5,100,47,1.79,RU,1707680096
21,afaahiti,-17.75,-149.2833,27.81,85,99,11.63,PF,1707680096
22,santa terezinha,-29.9002,-50.0904,31.74,55,56,2.49,BR,1707679928
23,whitehorse,60.7161,-135.0538,-2.57,71,75,4.63,CA,1707679934
24,coyhaique,-45.5752,-72.0662,16.34,44,75,4.63,CL,1707680096
25,olonkinbyen,70.9221,-8.7187,-3.14,62,100,4.56,SJ,1707680096
26,tiksi,71.6872,128.8694,-34.41,100,100,1.15,RU,1707680090
27,avarua,-21.2078,-159.775,28.03,74,40,6.17,CK,1707680073
28,colonia,50.9333,6.95,10.03,82,75,2.57,DE,1707680097
29,kirensk,57.7853,108.1119,-9.46,94,94,1.34,RU,1707680097
30,gamba,-2.65,10.0,26.97,82,100,2.04,GA,1707680097
31,albany,42.6001,-73.9662,6.21,67,100,0.89,US,1707680097
